timestamp,close,vwap,macd,macd_signal,bb_upper,bb_lower,atr,atr_median,buy_condition_1,buy_condition_2,buy_condition_3,buy_condition_4,buy_signal,sell_condition_1,sell_condition_2,sell_condition_3,sell_condition_4,sell_signal,in_position,entry_price,highest_price_since_entry
2025-07-15 13:41:00+00:00,626.205,,,,627.3551919156301,626.2308080843699,0.31753777919999915,,False,False,True,False,False,False,False,False,False,False,False,,
2025-07-15 13:42:00+00:00,626.425,,,,627.1790930008762,626.207906999124,0.34403022336000844,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:43:00+00:00,626.15,,,,627.0932505053051,626.1037494946947,0.3442241786880122,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:44:00+00:00,626.47,,,,627.0176363132173,626.0853636867828,0.33937934295041977,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:45:00+00:00,626.63,,,,626.9540368611135,626.0909631388865,0.3335034743603249,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:46:00+00:00,626.2,,,,626.765365443788,626.0966345562118,0.3528027794882499,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:47:00+00:00,625.895,,,,626.6934563002683,625.9855436997318,0.3602422235905972,,False,False,True,False,False,False,False,False,False,False,False,,
2025-07-15 13:48:00+00:00,626.195,,,,626.5992136782572,625.979786321743,0.3481937788724914,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:49:00+00:00,625.955,,,,626.5523133257468,625.9136866742531,0.32655502309799495,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:50:00+00:00,626.4,,-0.3101395452980569,,626.5799203147325,625.9250796852676,0.3522440184783814,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:51:00+00:00,626.28,,-0.282281314075135,,626.5867108813608,625.9332891186392,0.3427952147826951,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:52:00+00:00,626.31,,-0.2536156674751737,,626.5661150382136,625.9308849617862,0.30123617182615425,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:53:00+00:00,626.155,,-0.2450658214484065,,626.5662739352665,625.9317260647335,0.29898893746093885,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:54:00+00:00,626.04,,-0.2469374639480293,,626.5147741893351,625.897225810665,0.2641911499687511,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:55:00+00:00,626.225,,-0.22362706823957978,,626.3919565355635,625.9390434644364,0.25135291997500997,,False,False,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:56:00+00:00,626.145,,-0.21133537921093648,-0.24734252805768317,626.3859231063869,625.9340768936132,0.2330823359800016,,False,True,False,False,False,False,False,False,False,False,False,,
2025-07-15 13:57:00+00:00,625.945,,-0.22037168938629748,-0.24059981838983674,626.3785064401826,625.9514935598173,0.23346586878400402,,False,True,True,False,False,False,False,False,False,False,False,,
2025-07-15 13:58:00+00:00,625.68,,-0.25184588425224774,-0.24341133485543948,626.4173758998332,625.8096241001668,0.2397726950272232,,False,False,True,False,False,False,True,False,False,False,False,,
2025-07-15 13:59:00+00:00,625.6,626.5868733368324,-0.27888446444103465,-0.2522796172518383,626.456392653205,625.699607346795,0.22181815602177402,,False,False,True,False,False,True,True,False,False,False,False,,
2025-07-15 14:00:00+00:00,625.55,626.4476914783608,-0.29893280522492205,-0.26394291424510924,626.4008262497675,625.5851737502323,0.23245452481741466,,False,False,True,False,False,True,True,False,False,False,False,,
2025-07-15 14:01:00+00:00,625.745,626.393479480308,-0.28680554751815635,-0.269658572563371,626.3334385262949,625.545561473705,0.23196361985393538,,False,False,False,False,False,True,True,False,False,False,False,,
2025-07-15 14:02:00+00:00,625.62,626.3351966994161,-0.2864074410492776,-0.27384578968484763,626.2400369568791,625.5009630431209,0.21357089588314557,,False,False,False,False,False,True,True,False,False,False,False,,
2025-07-15 14:03:00+00:00,625.42,626.2718689799153,-0.3027286828710203,-0.2810665129813908,626.186685450074,625.4073145499258,0.23785671670652375,,False,False,False,False,False,True,True,False,False,False,False,,
2025-07-15 14:04:00+00:00,625.485,626.223836169847,-0.3020036099618437,-0.28630078722650404,626.1333425225769,625.3496574774231,0.23728537336522174,,False,False,False,False,False,True,True,False,False,False,False,,
2025-07-15 14:05:00+00:00,625.67,626.1405295620957,-0.27580349130130344,-0.2836764632452039,625.9944825764924,625.3775174235077,0.23682829869218008,,False,True,False,False,False,True,False,False,False,False,False,,
2025-07-15 14:06:00+00:00,625.91,626.1073932049079,-0.2255524324336875,-0.26914545554232483,625.9029273538916,625.4220726461084,0.24146263895374226,,False,True,False,False,False,True,False,True,False,False,False,,
2025-07-15 14:07:00+00:00,625.89,626.0746291095293,-0.18708707266739566,-0.24863085982359254,625.883773014266,625.4302269857338,0.23817011116299835,,False,True,False,False,False,True,False,True,False,False,False,,
2025-07-15 14:08:00+00:00,625.75,626.0583220114889,-0.1709834096980103,-0.22921899729219697,625.8945271133714,625.4334728866286,0.24253608893039685,,False,True,False,False,False,True,False,False,False,False,False,,
2025-07-15 14:09:00+00:00,625.86,626.029735266734,-0.14416286554387625,-0.2079549643551168,625.9336057265325,625.4463942734676,0.2160288711443202,,False,True,False,False,False,True,False,False,False,False,False,,
2025-07-15 14:10:00+00:00,625.805,626.0178105444661,-0.12803587224004787,-0.18797519132634954,625.9530843271334,625.4779156728666,0.20282309691545164,,False,True,False,False,False,True,False,False,False,False,False,,
2025-07-15 14:11:00+00:00,626.14,626.0069636385971,-0.07743377034194054,-0.1603398360802473,626.0604259321004,625.4495740678996,0.23125847753236678,,True,True,False,False,False,False,False,True,False,False,False,,
2025-07-15 14:12:00+00:00,626.1,625.9964770923642,-0.043587991318986496,-0.1311518748899321,626.1358377983336,625.4701622016667,0.21300678202589068,,True,True,False,False,False,False,False,False,False,False,False,,
2025-07-15 14:13:00+00:00,626.125,625.9921484224485,-0.015453097641966451,-0.1022271805779407,626.1733696591848,625.5736303408153,0.19340542562069163,,True,True,False,False,False,False,False,False,False,False,False,,
2025-07-15 14:14:00+00:00,626.25,625.9908863306036,0.018925972262081814,-0.07193889236793508,626.2232924258001,625.6767075742,0.1797243404965533,,True,True,False,False,False,False,False,True,False,False,False,,
2025-07-15 14:15:00+00:00,626.265,625.9796555718933,0.04522118724219126,-0.04264887246540349,626.2767242737846,625.7422757262152,0.17877947239723355,,True,True,False,False,False,False,False,False,False,False,False,,
2025-07-15 14:16:00+00:00,626.12,625.9754264934458,0.04770459473240862,-0.02006050566595046,626.296838717613,625.7641612823869,0.17702357791777865,,True,True,False,False,False,False,False,False,False,False,False,,
2025-07-15 14:17:00+00:00,625.81,625.9742562780217,0.01482517118472515,-0.011339086453281558,626.3005113531851,625.744488646815,0.21761886233422204,,False,True,False,False,False,True,False,False,False,False,False,,
2025-07-15 14:18:00+00:00,625.915,625.9617031936757,0.0020978600375656242,-0.007979849830569763,626.2891404605413,625.7888595394587,0.19709508986737945,,False,True,False,False,False,True,False,False,False,False,False,,
2025-07-15 14:19:00+00:00,625.905,625.9547391836447,-0.008287418251939016,-0.008056741935912076,626.2871299704466,625.7998700295534,0.1746760718938881,0.23897140309511078,False,False,False,False,False,True,True,False,False,False,False,,
2025-07-15 14:20:00+00:00,626.14,625.9279937934444,0.009946696051315485,-0.003555882439105186,626.2917725541122,625.8622274458878,0.1867408575151132,0.23897140309511078,True,True,False,False,False,False,False,False,False,False,False,,
2025-07-15 14:21:00+00:00,626.13,625.9264725224864,0.021936111979925954,0.002817116165652599,626.2901588195706,625.8618411804295,0.17239268601206964,0.23897140309511078,True,True,False,False,False,False,False,False,False,False,False,,
2025-07-15 14:22:00+00:00,626.23,625.9261221009006,0.04116593971025395,0.012404322051802938,626.3141449533075,625.8638550466924,0.15791414880966026,0.23897140309511078,True,True,False,False,False,False,False,False,False,False,False,,
2025-07-15 14:23:00+00:00,626.07,625.9169879534543,0.0369482518830182,0.018540304509606753,626.3080257501932,625.8589742498067,0.2023313190477273,0.23897140309511078,True,True,False,False,False,False,False,False,False,False,False,,
2025-07-15 14:24:00+00:00,626.02,625.9185904377819,0.027754510701697654,0.02084385605762948,626.2700025357838,625.8509974642161,0.17986505523818822,0.23801341393476105,True,True,False,False,False,False,False,False,False,False,False,,
2025-07-15 14:25:00+00:00,625.53,625.8712899837125,-0.03289101944301365,0.007410137182468697,626.2796576498228,625.6943423501772,0.24289204419055146,0.23801341393476105,False,False,True,True,False,True,True,False,True,False,False,,
2025-07-15 14:26:00+00:00,625.6,625.8103718586392,-0.068762477376481,-0.011633016457268728,626.2655790374477,625.6044209625525,0.2383136353524466,0.23801341393476105,False,False,True,True,False,True,True,False,True,False,False,,
