symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2025-06-26 18:34:00+00:00,611.86,611.89,611.83,611.885,2742.0,44.0,611.86125
SPY,2025-06-26 18:35:00+00:00,611.905,611.905,611.87,611.89,1303.0,14.0,611.8795
SPY,2025-06-26 18:36:00+00:00,611.78,611.78,611.68,611.695,5730.0,55.0,611.737324
SPY,2025-06-26 18:37:00+00:00,611.745,611.745,611.61,611.61,5370.0,46.0,611.662567
SPY,2025-06-26 18:38:00+00:00,611.6,611.67,611.575,611.61,3032.0,31.0,611.607462
SPY,2025-06-26 18:39:00+00:00,611.62,611.625,611.545,611.545,4927.0,30.0,611.596304
SPY,2025-06-26 18:40:00+00:00,611.53,611.57,611.53,611.53,2975.0,24.0,611.544701
SPY,2025-06-26 18:41:00+00:00,611.525,611.525,611.475,611.485,3954.0,46.0,611.502536
SPY,2025-06-26 18:42:00+00:00,611.5,611.59,611.495,611.545,2292.0,32.0,611.537
