timestamp,close_spy,close_qqq,spread,z_score,in_pair_position,side_a,side_b,entry_a,entry_b,qty_a,qty_b,pnl_total
2025-07-29 18:10:00+00:00,635.405,568.07,67.33499999999992,-1.2081898727535927,False,,,,,7,8,
2025-07-29 18:10:00+00:00,635.405,568.07,67.33499999999992,-1.208189872753706,False,,,,,7,8,
2025-07-29 18:12:00+00:00,635.325,568.085,67.24000000000001,-1.7787017189960785,False,,,,,7,8,
2025-07-29 18:13:00+00:00,635.47,568.11,67.36000000000001,-0.9668602497507292,False,,,,,7,8,
2025-07-29 18:14:00+00:00,635.5,568.23,67.26999999999998,-1.5234755196208436,False,,,,,7,8,
2025-07-29 18:15:00+00:00,635.52,568.2,67.31999999999994,-1.1541604978009443,False,,,,,7,8,
2025-07-29 18:16:00+00:00,635.62,568.25,67.37,-0.7882703666200266,False,,,,,7,8,
2025-07-29 18:17:00+00:00,635.62,568.31,67.31000000000006,-1.160011372692119,False,,,,,7,8,
2025-07-29 18:17:00+00:00,635.62,568.31,67.31000000000006,-1.1600113726921644,False,,,,,7,8,
2025-07-29 18:17:00+00:00,635.62,568.31,67.31000000000006,-1.1600113726917127,False,,,,,7,8,
2025-07-29 18:20:00+00:00,635.38,568.01,67.37,-0.7223208272946883,False,,,,,7,8,
2025-07-29 18:21:00+00:00,635.365,568.06,67.30500000000006,-1.1350074969341784,False,,,,,7,8,
2025-07-29 18:21:00+00:00,635.365,568.06,67.30500000000006,-1.1350074969344701,False,,,,,7,8,
2025-07-29 18:23:00+00:00,635.2,567.765,67.43500000000006,-0.20471824185788515,False,,,,,7,8,
2025-07-29 18:24:00+00:00,635.25,567.86,67.38999999999999,-0.5004137953258372,False,,,,,7,8,
2025-07-29 18:25:00+00:00,635.21,567.75,67.46000000000004,0.03803380954308733,False,,,,,7,8,
2025-07-29 18:25:00+00:00,635.21,567.75,67.46000000000004,0.03803380954309646,False,,,,,7,8,
2025-07-29 18:27:00+00:00,635.22,567.74,67.48000000000002,0.20388273310645455,False,,,,,7,8,
